Economy_Label,2008_Percentage_of_Gross_Fixed_Capital_Formation_Value,2008_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2009_Percentage_of_Gross_Fixed_Capital_Formation_Value,2009_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2010_Percentage_of_Gross_Fixed_Capital_Formation_Value,2010_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2011_Percentage_of_Gross_Fixed_Capital_Formation_Value,2011_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2012_Percentage_of_Gross_Fixed_Capital_Formation_Value,2012_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2013_Percentage_of_Gross_Fixed_Capital_Formation_Value,2013_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2014_Percentage_of_Gross_Fixed_Capital_Formation_Value,2014_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2015_Percentage_of_Gross_Fixed_Capital_Formation_Value,2015_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2016_Percentage_of_Gross_Fixed_Capital_Formation_Value,2016_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2017_Percentage_of_Gross_Fixed_Capital_Formation_Value,2017_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2018_Percentage_of_Gross_Fixed_Capital_Formation_Value,2018_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2019_Percentage_of_Gross_Fixed_Capital_Formation_Value,2019_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2020_Percentage_of_Gross_Fixed_Capital_Formation_Value,2020_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2021_Percentage_of_Gross_Fixed_Capital_Formation_Value,2021_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2022_Percentage_of_Gross_Fixed_Capital_Formation_Value,2022_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2023_Percentage_of_Gross_Fixed_Capital_Formation_Value,2023_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue
"Marshall Islands",19,,83.18,,-13.36,,-13.18,,73.57,,72.89,,-22,,-17.04,,-7.75,,12.12,,21.47,,3.71,,6.18,,1,,3.94,,3.12,
"Mongolia",32.47,,36.86,,65.62,,86.97,,74.24,,41.27,,9.53,,4.44,,-199.16,,58.24,,61.44,,61.46,,54.77,,52.98,,48.99,,43.97,
"Namibia",33.52,,33.9,,9.95,,29.01,,31.65,,20.35,,10.11,,25.28,,15.2,,12.11,,9.04,,-9.06,,-10.13,,42.73,,60.45,,132.25,
"Oman",12.48,,7.18,,6.47,,7.92,,5.65,,5.99,,4.66,,-8.11,,7.67,,11.09,,20.08,,7.6,,7.99,,38.92,,20.6,,17.84,
"Palau",7.92,,6.42,,6.14,,15.32,,38.92,,36.63,,55.51,,45.4,,79.26,,51.69,,64.69,,52.51,,47.8,,42.7,,81.04,,53.81,
"Panama",27.02,,15.96,,31.07,,29.03,,22.23,,19.68,,21.6,,20.83,,20.7,,16.89,,18.23,,15.12,,1.28,,8.92,,12.6,,8.74,
"Republic of Korea",3.45,,3.1,,2.75,,2.59,,2.51,,3.2,,2.16,,0.97,,2.72,,3.5,,2.33,,1.94,,1.7,,3.83,,4.65,,2.82,
"Russian Federation",18.86,,9.51,,8.85,,8.45,,6.34,,10.62,,6.61,,4.22,,13.31,,7.5,,3.86,,9.06,,3.23,,10.69,,-3.28,,1.8,
"Saint Kitts and Nevis",56.56,,42.48,,44.5,,46.84,,49.63,,55.52,,56.71,,44.63,,40.95,,16.6,,13.79,,12.87,,-0.18,,9.43,,15.56,,11.98,
"Saint Lucia",38.12,,38.75,,32.44,,24.33,,18.84,,23.87,,30.72,,57.19,,42.62,,22.5,,13.23,,21.03,,28.21,,34.99,,16.98,,40.6,
"Samoa",34.01,,5.42,,0.15,,5.04,,7.26,,5.22,,7.89,,9.61,,0.87,,3.14,,6.17,,-1.4,,1.68,,3.3,,1.61,,-0.98,
"Seychelles",82.91,,89.55,,70.47,,66.74,,74.95,,45.16,,57.2,,50.53,,39.38,,45.39,,-16.85,,7.36,,55.82,,91.78,,53.13,,59.74,
"Trinidad and Tobago",90.52,,15.54,,19.62,,1.62,,-47.7,,-36.03,,14.47,,2.59,,-0.32,,-9.02,,-16.89,,4.03,,22.61,,-34.32,,-70.35,,-85.15,
"Tunisia",26.03,,15.96,,13.97,,11.21,,15.14,,10.3,,10.06,,10.44,,9.73,,10.42,,12.38,,10.37,,9.68,,8.85,,10.52,,11.32,
"Turks and Caicos Islands",,,,,,,,,,,,,,,-45.12,,9.74,,13.25,,23.12,,13.73,,20.1,,16.75,,18.76,,17.5,
"United Arab Emirates",7.08,,1.55,,12.12,,9.45,,12.16,,13.6,,13.89,,10.02,,11.35,,14.12,,14.16,,23.46,,29.75,,23.4,,24.18,,32.64,
"Vanuatu",18.4,,13.34,,25.22,,33.22,,21.57,,0.53,,6.35,,12.41,,24.59,,15.98,,16,,23.49,,13.91,,8.34,,1.91,,1.64,
